	id	sentence	sentiment
0	5bf2fb597b2a30b77971b88e0	I was never quite sure where this thing was going . These people seem interested in what is going on on some mountain . They investigate , have exciting escapes , leave , come back , leave , put each other in danger , sleepwalk , get attacked by witches who rich_person consistent wardrobes , etc . , etc . The guy seems to like the girl , but leaf her unprotected numerous times . She gets taken off , he gets her back , leaves her again . You get immersed in the film . The whole thing look to get around to some sort of forfeit , I think , but I 'm not sure , or turning people into witches , but I 'm not sure . It 's just enthralling and definitely worth the time . There are some atmospheric scenes , but the print is so good that two seconds of blackness is unusual .	1
1	40c20f9a5a33fc7289518b5fb	""""""" I vaguely remember Ben from my Sci - Fi fandom days of the ' 60s , I was doing several interview & bios of obscure actors / actresses , most notably Ben , actress Fay Spain , and Jody Fair , who played Angela in 1961 's The Young Savages . Ben was one of the people at a low - key Sci - Fi con in Chicago , about 1970 , when I had a nice chat with him and his """" """" career """" """" and life . all these were published in some now - long - forgotten fanzine of the day . wish I still had copies of those interviews , but time marches on , and any of those people surely would n't ' remember me at all so many years later . Ben was a really nice fellow , ekeing out a living ( The cons of those days did n't even pay their guest , unless , of course they were big - name star , and even then the pay was a couple hundred dollars , at most ! Good to know Ben 's still alive & kicking ! How 'bout a remake of Creature , but 50 years older ! chilling then , scarier now ! """""""	1
2	828a1afaf931a15aa051c8106	Possibly not , but it is great . Even the fantastic cast saves it . OK , I admit it started off quite funny merely it seemed to skyrocket as soon as they jumped those girls inch the general house . Bill Murray turned from being a quick witted , humorous guy into Associate_in_Nursing great man who Washington shouting things at people in the street that just were funny , its like he was funny . His character stole a weapon ( an RV ? ) and ends up being a national hero after invading another country and killing god knows how many soldiers , for a laugh . Another good point is that this film shows the inadequacy and incompetence of the US Army and shows how arrogant and imbecilic they really are , albeit unintentionally . iodine actually felt great that this kind of patriotic goodness could really be released .	1
3	d580d1c6f2f633c5f3952d3b7	""""""" Not the best movie I 've seen but definitely very good . I myself am a paintball player , used to play airball a lot and going from woods to airball be quite a large change . The movie portrays similar qualitys First of all the movie starts off with this team that apparently is trying to shoot this """" """" Phantom """" """" guy or whatever , they appear to be a professional team and wear jerseys and shoot mags , autocockers . One guy sporting a bushy . Not much wrong with the movie and it 's not very cheesy . A bunch of kids World_Health_Organization are the good guys are woodsball player who do n't appear to have much money and have dreams of getting """" """" better guns """" """" . Another team constantly picks on them and insults them because they play forest and blah blah blah The phantom helps these woodsball child out and trains them and all this stuff , helium gets them to play airball and basically defeat all the teams including the """" """" professionals"""""""".<br /><br />So what exactly is right with the movie ? Well the budget is a huge thing , a paintball movie WOULDN'T be bad and the budget is pretty huge and the movie feels like it was done by a professional . There are no big names in this movie but the acting is very good . The perception of paintball is pretty is n't too extreme . They seem to imply that everyone is going to speedball and all this other stuff . information_technology just was a decent movie in my opinion and gives people a real perception about what paintball is . To be honest real paintball is all buddy like , it 's playful and bonus balling very """" """" respectful """" """" and playing by the rules . Definitely watch this movie and then expect to go to a field screaming """" """" 4 is one ! ! """" """" """""""	1
4	4da0279bd04ae23bb1c01ef0b	""""""" I 've see a lot of movies and rarely would I ever rate a movie """" """" 10 """" """" but this movie was beyond awesome.<br /><br />The acting Washington great , the plot was sick , the effects were realistic and the characters were sexy . Usually when I watch scary movies I think it 's DUMB when the characters hears a noise in house / forest / school / etc and then yells out """" """" hello is anyone there ? """" """" - but some of them at least they 're believable when they do it .. This movie got that right.<br /><br />This is angstrom movie that 'll make other B - horror movies like Venom and The Fog expression like turd sandwiches.<br /><br />I always rich_person an open mind while watching movies and I can only say that this movie was a complete sex fest and iodine write this comment sol that anyone else who 's thinking of watching this movie will think again . IT 'S GOT BEAVER ! """""""	1
5	e52ee7388fde3b2c34ce6a9d7	This a bad Disney flick . It is the story of an aging high school baseball coach ( Dennis Quaid ) , who was once on his way to the large leagues as a pitcher , but suffered a career ending injury . Through a series of event , Jimmy Morris ( Quaid ) gets a try out with a major league team and even makes the roster . This is a bad family film . It is not inspirational and pours it on too thick . It 's neither fun nor entertain . adult will hate this movie as well as kids . It is based upon a true story , though i 'm sure the filmmakers took some autonomy in telling the story . Quaid is dull as the title fictional_character , very unconvincing . If you 're looking for a movie the whole family can enjoy , look past this . 2/10	0
6	edb9d4ad17c016a8ef91b01b6	""""""" I never actually thought that a film could be so great , but alas I was wrong . Great acting , great plot , fun effects . The Crocodile was cool and as for the fun sexual_activity / killing scene all in one , that was a great move from the word go . It was truly shocking and that is a compliment ! How can someone make this film , watch it back and then actually say """" """" Yeah , my favorite movie . people will watch that """" """" If you have n't see it I beg you watch it . """""""	1
7	ca060e07434b02f2f9798b8cd	To all the great people who have done everything from complain about the dialogue , the budget , the this and the that .... everyone wants to hear it . IF you missed the point of this terrible movie , that 's not your loss . The rest of us who deeply hate this movie care what you think . I americium a thirthysomething guy who has see thousands of movies in my life , and this one does n't stand in its own entity , in my book . It was not supposed to be a documentary , or a completely factual account of what happened that night . information_technology is the worst love story ever attempted . I know that it is the cynical 90 's and the millennium has everyone in a tizzy , but come on . person on this comments board complained that it made too much money ! How right is that ? It made bundles of money in every civilized country on the planet , and is the top grossing film in the planet . I will gladly side against the majority this time around . O.K. , cynics , time to join me .	0
8	7beaca58458a812c44835a6af	""""""" First let Maine preface this post by saying that I am a fan of the original Star Wars MOVIES ... iodine do n't read the books , play the games , wear the underwear or eat the cereal ( if there is one ) . I am simply angstrom fan of the films.<br /><br />With that being said , I ca n't struggle to see how people are giving this movie such high praise . Taking this movie by itself , and not comparing it to it 's terrible predecessor ( EP 1 , 2 ) , I do n't understand how you can say this is n't an amazing movie . For all of the terrible defect in the script - cheesy dialogue , plan scenes ( ie R2 suddenly being a badass , and long CGI intense chase scenes that have little human touch ) , great acting , and no plot holes ... how is this bad ? There was no real internal dilemma within Anakin ; it just seemed like a switch was flipped and he was evil all of a sudden . I was interested in the movie . When you BOMBARD the screen with intensely amazing CGI effects and fill in the gaps with absolutely great one - liner when more could have and should have been said , this is A great MOVIE . For a film with such a """" """" dark """" """" tone , there was too much levity in the address of ALL characters.<br /><br />I close with a question : From the beginning to the end of the film , was there really a sense of urgency and importance for what was actually about to take place ? """""""	1
9	95518f91a86d0d58fefe5f218	The performances were atrocious , the costumes delivered a generic feeling for the period and being angstrom Victorian Living Historian , I was unimpressed with the accuracy of weaponry and attention to detail.<br /><br />I would n't say you need any knowledge of the Kelly saga to stay with the flow of this movie but to comprehend the happenings and attitudes of the time you will necessitate a bit of basic historical knowledge . Do not expect , as some rather silly people do , any of the characters to have the Auzzie accent as we know it , it was , at that time , a country during infancy.<br /><br />OK , the story had some elements of fiction but these detracted form a wider following of the film . Gregor Jordan said in the extra feature on the DVD that he wanted his movie to ' inspire an interest ' , and that is the opposite of what happened with me so this movie gets the thumbs down here.<br /><br />See it and you WILL be regretful	0
